<div>愛情</div>,あいじょう,[0],[名]爱，爱情;热爱,<div>△母の愛情/母爱</div><div>△仕事に愛情を持つ。/热爱工作。</div>,恋愛(れんあい）[0][名•自動3]爱情，恋爱,,[sound:愛情.mp3],,
<div>idea</div>,アイデア/アイディア,①③,<div>[名]想法，主意</div>,△すばらしいアイデア/好办法,<div>思いつき（おもいつき）[0][名]打算，主意;忽然想起</div>,,[sound:アイデア.mp3],,
<div>あいにく</div>,あいにく,[0],[副•ナ形]不凑巧，偏巧,<div>△先生を訪ねたが、あいにく留守だった。/去拜访老师了，不凑巧他外出了。</div>,,,[sound:baidu-c7c3196b-a46bce50-84996a6e-b7ac25e6-4f82056d.mp3],,
<div>曖昧</div>,あいまい,[0],<div>[ナ形]含糊不清，模棱两可</div>,△曖昧な返事をする。/含糊不清地回答。,,,[sound:曖昧.mp3],,
<div>愛用</div>,あいよう,[0],[名•他動3]喜欢用，常用,<div>△その会社の製品を愛用する。/喜欢用那家公司的产品。</div>,,,[sound:愛用.mp3],,
<div>空き</div>,あき,[0],[名]空地;空闲;空缺,<div>△今朝は忙しくて空きがなかった。/今天早上很忙，一直没空。</div><div>△ポストに空きができた。/职位上有空缺。</div>,<div>空く（あく）[0][自動1](空间或时间）空,空闲；空缺</div>,,[sound:空き.mp3],,
明らか,あきらか,②,[ナ形]明显，淸楚,△明らかに間違っている。/明显错了。&nbsp;<div>△原因が明らかになった。/原因弄清楚了。&nbsp;</div>,,,[sound:明らか.mp3],,
<div>諦める</div>,あきらめる,④,[他動2]放弃，死心,△進学を諦める。/放弃升学。,,,[sound:baidu-455e621e-ddab9dd7-2fe453ff-239e4bf5-70eb7719.mp3],,
<div>飽きる</div>,あきる,②,[自動2]厌烦，厌倦,<div>△飽きることを知らない。/不知厌倦。</div><div>△何度見ても飽きない。/百看不厌。</div>,,,[sound:飽きる.mp3],,
<div>握手</div>,あくしゅ,①,[名•自動3]握手,△首相と握手する。/和首相握手。,,,[sound:握手.mp3],,
<div>action</div>,アクション,①,<div>[名]行动，动作；格斗等的演技</div>,<div>△アクションを起こす。/开始行动。</div><div>△アクション映画/动作片</div>,<div>リアクション（reaction)②[名]反应；反作用</div>,,[sound:アクション.mp3],,
<div>accent</div>,アクセント,①,[名]ロ音；重音,<div>△…にアクセントを置く/以……为重点；以……为强调点</div>,,,[sound:アクセント.mp3],,
<div>悪天候</div>,あくてんこう,③,[名]坏天气,△悪天候が続く。/持续坏天气。,,,[sound:J00739.mp3],,
<div>欠伸</div>,あくび,[0],[名•自動3]哈欠,△欠伸をする。/打哈欠。,,,[sound:欠伸.mp3],,
<div>明ける</div>,あける,[0],<div>[自動2]天亮；（季节、时期等）结束</div>,<div>△年が明けた。/新年伊始。</div><div>△梅雨が明ける。/梅雨季节结束。</div>,<div>暮れる（くれる）[0][自動2]天黑，日暮；季末，年终&nbsp;</div>,,[sound:明ける.mp3],,
揚げる,あげる不是明ける,[0],[他動2]放（焰火，风筝等）;举起;油炸,<div>△花火を揚げる。/放焰火。</div><div>△旗を揚げる。/举起旗子。</div><div>△天麩羅を揚げる。/炸天妇罗。</div>,,,[sound:揚げる.mp3],,
<div>朝晚</div>,あさばん,①,[名]早晚,<div>△最近、朝晩は涼しくなった。/最近早晚变凉了。</div>,,,[sound:朝晩.mp3],,
<div>朝日</div>,あさひ,①,[名]旭日,,夕日（ゆうひ）[0][名]夕阳，夕照,,[sound:朝日.mp3],,
<div>足音</div>,あしおと,③,[名]脚步声,△足音がする。/有脚步声。,,,[sound:足音.mp3],,
<div>味見</div>,あじみ,[0]③,[名]尝口味，尝咸淡,△味見をする。/尝味道。,,,[sound:味見.mp3],,
<div>足元/足下</div>,あしもと,③,[名]脚下;脚步,<div>△足元に気をつけてください。/小心脚下。</div>,,,[sound:baidu-236d1504-00003ef1-942e1a02-a8e24e37-72046ec4.mp3],,
<div>与える</div>,あたえる,[0],<div>[他動2]给予;使蒙受，使承受</div>,△被害を与える。/造成灾难。,,,[sound:与える.mp3],,
<div>暖まる/温まる</div>,あたたまる,④,<div>[自動1]暖和;感到溫暖</div>,<div>△部屋が暖まる。/房间暖和。</div><div>△心が温まる。/内心感到温暖。</div>,,,[sound:暖まる.mp3],,
<div>暖める/温める</div>,あたためる,④,<div>[他動2]使……温暖,加热</div>,<div>△ストーブで部屋を暖める。/用火炉把屋子烘暖。</div><div>△お酒を温める。/烫酒。</div>,,,[sound:暖める.mp3],,
<div>当たり前</div>,あたりまえ,[0],<div>[ナ形]应该，理所当然</div>,<div>△借りたお金を返すのは当たり前だ。/欠债还钱是理所当然的。</div>,,,[sound:baidu-309af55d-4c3b7225-60ac3418-57197a39-659a406f.mp3],,
<div>当たる</div>,あたる,[0],<div>[自動1]撞上；猜中；晒，照</div>,<div>△くじに当たる。/中奖。</div><div>△日に当たる。/晒太阳。&nbsp;</div>,,,[sound:当たる.mp3],,
<div>あっという間に</div>,あっというまに,[0],<div>[副]眨眼间，转眼间</div>,<div>△あっという問に夏休みが終わった。/转眼间署假就結束了。&nbsp;</div>,,,[sound:あっという間に.mp3],,
<div>宛先</div>,あてさき,[0],[名]收信人的姓名、地址,△宛先不明/收信人地址不明&nbsp;,,,[sound:宛先.mp3],,
<div>宛名</div>,あてな,[0],[名]收信人姓名（地址）,△宛名が間違っている。/收信人姓名有误。,,,[sound:宛名.mp3],,
<div>advice</div>,アドバイス,③①,<div>[名.他動3]劝告，建议</div>,<div>△先輩としてアドパイスする。/作为前辈提出建议。&nbsp;</div>,,,[sound:アドバイス.mp3],,
<div>address</div>,アドレス,①,[名]住址,<div><br /></div>,住所（じゅうしょ）①[名]住址，地址,,[sound:アドレス.mp3],,
<div>穴</div>,あな,②,[名]洞穴；漏洞；亏空,<div>△その計画は穴だらけだ。/那项计划充满漏洞。</div><div>△穴を埋める。/填补亏空。</div>,,,[sound:穴.mp3],,
announce,アナウンス,②③,[名•他動3]广播，通知,△機内アナウンス/机舱内广播,<div>アナウンサー（announcer)③[名]广播员，播音员</div>,,[sound:アナウンス.mp3],,
<div>浴びる</div>,あびる,[0],<div>[他動2]淋，浇，沐浴;晒，照</div>,<div>△シャワーを浴びる。/淋浴。</div><div>△日光を浴びる。/晒太阳。</div>,,,[sound:浴びる.mp3],,
<div>余り</div>,あまり,③,<div>[名•副]剰余;过于;（后接否定)(不)太……</div>,<div>△給料の余りを貯金する。/把剩余的ェ资存起来。</div><div>△あまり心配しなくていい。/不必太担心。</div>,,,[sound:余り.mp3],,
<div>余る</div>,あまる,②,[自動1]剰余，剩下;过分,△予算が1万円余った。/预算多了一万日元。,,,[sound:余る.mp3],,
<div>網</div>,あみ,②,[名]网,△網を打つ。/撒网。,,,[sound:網.mp3],,
<div>編む</div>,あむ,①,[他動1]编，织;编辑,△毛糸でセーターを編む。/用毛线织毛衣。,,,[sound:編む.mp3],,
<div>危うく</div>,あやうく,[0],<div>[副]好不容易；险些，几乎</div>,△危うく転ぶところだった。/险些掉倒了,,,[sound:危うく.mp3],,
<div>怪しい</div>,あやしい,[0]③,<div>[イ形]可疑的;靠不住的;拙劣的</div>,<div>△怪しい男/可疑的男子</div><div>△ニュースの根拠が怪しい。/消息的出处不可靠。</div>,,,[sound:怪しい.mp3],,
<div>荒い</div>,あらい,[0]&nbsp;,[イ形]粗暴;剧烈;胡乱,△金遣いが荒い。/胡乱花钱；花钱如流水。,,,[sound:荒い.mp3],,
<div>粗い</div>,あらい,[0],<div>[イ形](做工）粗糙；（计算等）粗枝大叶</div>,△作り方が粗い。/做法粗糙。,<div>細かい（こまかい）③[イ形]细小；详细，仔细</div>,,[sound:粗い.mp3],,
<div>争う</div>,あらそう,③,[他動1]争，争夺;争论,△優勝を争う。/争夺冠军。,,,,,
<div>新た</div>,あらた,①,[ナ形]新;重新,△新たにできた店/新开的店铺,新しい（あたらしい）④[イ形]新的,,[sound:新た.mp3],,
<div>表す</div>,あらわす不是現す,③,[他動1]表达，表示,△危険を表す記号/表示危险的记号,,,[sound:表す.mp3],,
<div>現す</div>,あらわす,③,[他動1]出现;表露,显露,△彼は姿を現した。/他出现了。,<div>隠す(かくす）②[他動1]隐藏;掩盖，掩饰&nbsp;</div>,,[sound:現す.mp3],,
<div>表れる</div>,あらわれる,④,[自動2]表现，显出,<div>△努力が結果に表れる。/努力有了結果。&nbsp;</div>,,,[sound:表れる.mp3],,
<div>現れる</div>,あらわれる,④,<div>[自動2]出现，出来;显现</div>,<div>△月が現れる。/月亮出来。</div><div>△効果が現れる。/见效。</div>,,,[sound:現れる.mp3],,
<div>有難い</div>,ありがたい,④,<div>[イ形]难得，少有;值得感谢的</div>,<div>△有難い機会/难得的机会</div><div>△それは有難いことだ。/那太值得感谢了。&nbsp;</div>,,,[sound:baidu-ae482d3a-6dedfc05-df5b2a29-61e1005a-36d6efa0.mp3],,
<div>或いは</div>,あるいは,②,[副•接]或是，或者,△コーヒー或いはジュースを飲む。/喝咖啡或者紅茶。&nbsp;,,,[sound:或は.mp3],,
<div>あれこれ</div>,あれこれ,②,[代•副]这个那个，种种,△あれこれ考える。/想这想那。,,,[sound:あれこれ.mp3],,
<div>あれほど</div>,あれほど,[0],<div>[副]那样，那么</div>,<div><div>△あれほど言ったのに…/说了那么多，怎么还<span class="Apple-tab-span" style="white-space: pre"> …</span></div></div>,<div>△これほど[0] [副]这样，这么</div><div>△それほど[0][副]那么，那样</div>,,[sound:あれほど.mp3],,
<div>アレルギー</div>,アレルギー,③,[名](医）过敏,△アレルギー体質/过敏性体质,,,[sound:アレルギー.mp3],,
<div>泡</div>,あわ,②,[名]泡,沫，水花儿,△石鹸の泡/肥皂泡,,,[sound:baidu-94aad9b1-5bbe7d93-4a0da557-32b6e231-f0c9a515.mp3],,
<div>合わせる</div>,あわせる,③,<div>[他動2]合ニ为一;同心合力;使<span class="Apple-tab-span" style="white-space: pre"> </span>一致</div>,<div>△力を合わせて働く。/同心协カ地工作。</div><div>△調子を合わせる。/使步调一致。</div>,,,[sound:合わせる.mp3],,
<div>慌ただしい</div>,あわただしい,⑤,<div>[イ形]匆忙;繁忙</div>,<div>△慌ただしく入ってくる。/慌张地走进来。</div><div>△慌ただしい都市生活/繁忙的都市生活</div>,,,[sound:慌ただしい.mp3],,
